FishID,cohort,pattern
MLL-1G2G-0803,803,21
MLL-1G2O-0803,803,7
MLL-1G2P-0803,803,8
MLL-1G2R-0803,803,9
MLL-1G2V-0803,803,15
MLL-1G2Y-0803,803,25
MLL-1G3B-0803,803,101
MLL-1O2B-0803,803,101
MLL-1O2G-0803,803,4
MLL-1O2O-0803,803,2
MLL-1O2P-0803,803,26
MLL-1O2R-0803,803,101
MLL-1O2V-0803,803,101
MLL-1O2Y-0803,803,27
MLL-1P2B-0803,803,13
MLL-1P2G-0803,803,101
MLL-1P2O-0803,803,101
MLL-1P2P-0803,803,17
MLL-1P2R-0803,803,18
MLL-1P2V-0803,803,101
MLL-1P3Y-0803,803,101
MLL-1R2B-0803,803,101
MLL-1R2G-0803,803,101
MLL-1R2O-0803,803,24
MLL-1R2P-0803,803,101
MLL-1R2R-0803,803,101
MLL-1R2V-0803,803,14
MLL-1R2Y-0803,803,15
MLL-1V2O-0803,803,101
MLL-1V2R-0803,803,100
MLL-1V2Y-0803,803,101
MLL-1Y2B-0803,803,23
MLL-1Y2G-0803,803,9
MLL-1Y2O-0803,803,100
MLL-1Y2P-0803,803,11
MLL-1Y2V-0803,803,101
MLL-1Y2Y-0803,803,3
MLL-1Y3R-0803,803,101
MLL-1B5B-0805,805,19
MLL-1B5G-0805,805,1
MLL-1B5K-0806,806,99
MLL-1B5O-0806,806,17
MLL-1B5P-0806,806,31
MLL-1B5R-0806,806,14
MLL-1B5V-0806,806,7
MLL-1B5Y-0806,806,29
MLL-1B6B-0806,806,17
MLL-1B6G-0806,806,1
MLL-1B6K-0806,806,1
MLL-1B6O-0806,806,25
MLL-1B6P-0806,806,25
MLL-1B6R-0806,806,25
MLL-1B6V-0806,806,18
MLL-1B6Y-0806,806,5
MLL-1B7B-0806,806,20
MLL-1B7G-0806,806,31
MLL-1B7K-0806,806,13
MLL-1B7O-0806,806,13
MLL-1B7P-0806,806,25
MLL-1B7R-0806,806,25
MLL-1B7V-0806,806,19
MLL-1B7Y-0806,806,12
MLL-1B8B-0806,806,19
MLL-1B8G-0806,806,19
MLL-1B8K-0806,806,5
MLL-1B8O-0806,806,13
MLL-1B2Y3Y-0807,807,5
MLL-1B8P-0807,807,7
MLL-1B8R-0807,807,15
MLL-1B8V-0807,807,9
MLL-1B8Y-0807,807,22
MLL-1G5B-0807,807,27
MLL-1G5G-0807,807,99
MLL-1G5K-0807,807,28
MLL-1G5O-0807,807,3
MLL-1G5P-0807,807,25
MLL-1G5R-0807,807,18
MLL-1G5V-0807,807,99
MLL-1G5Y-0807,807,1
MLL-1G6B-0807,807,13
MLL-1G6G-0807,807,99
MLL-1G6K-0807,807,17
MLL-1G6O-0807,807,28
MLL-1G6P-0807,807,13
MLL-1G6R-0807,807,21
MLL-1G6V-0807,807,9
MLL-1G6Y-0807,807,25
MLL-1G7B-0807,807,25
MLL-1G7G-0807,807,18
MLL-1G7K-0807,807,25
MLL-1G7O-0807,807,18
MLL-1G7P-0807,807,25
MLL-1G7R-0807,807,25
MLL-1G7V-0807,807,27
MLL-1G7Y-0807,807,15
MLL-1G8B-0807,807,25
MLL-1G8G-0807,807,21
MLL-1G8K-0807,807,25
MLL-1G8O-0807,807,13
MLL-1G8P-0807,807,18
MLL-1G8R-0807,807,25
MLL-1G8V-0807,807,13
MLL-1G8Y-0807,807,15
MLL-1K5B-0807,807,99
MLL-1K5G-0807,807,13
MLL-1K5K-0807,807,25
MLL-1K5O-0808,808,26
MLL-1K5P-0808,808,7
MLL-1K5Y-0808,808,11
MLL-1K6B-0808,808,14
MLL-1K6K-0808,808,13
MLL-1K6P-0808,808,2
MLL-1K6Y-0808,808,24
MLL-1K7B-0808,808,99
MLL-1K7K-0808,808,27
MLL-1K7P-0808,808,99
MLL-1K7Y-0808,808,99
MLL-1K8B-0808,808,99
MLL-1K8K-0808,808,24
MLL-1P5Y-0808,808,3
MLL-1Y7O-0808,808,25
MLL-2B5K-0808,808,25
MLL-1K7G-0809,809,13
MLL-1K7O-0809,809,6
MLL-1K7R-0809,809,24
MLL-1K7V-0809,809,9
MLL-1K8G-0809,809,29
MLL-1K8P-0809,809,99
MLL-1K8R-0809,809,17
MLL-1K8V-0809,809,1
MLL-1K8Y-0809,809,29
